ds,y
2019-08-16 00:00:00,281.225467978741
2019-08-17 00:00:00,320.945956648427
2019-08-18 00:00:00,285.6689200148532
2019-08-19 00:00:00,362.6845505751367
2019-08-20 00:00:00,287.1796463890934
2019-08-21 00:00:00,261.1988517226835
2019-08-22 00:00:00,264.0226179504634
2019-08-23 00:00:00,277.8976463298846
2019-08-24 00:00:00,306.98626972745393
2019-08-25 00:00:00,310.58761981345947
2019-08-26 00:00:00,393.6990555685085
2019-08-27 00:00:00,299.32051937860757
2019-08-28 00:00:00,265.82861127870365
2019-08-29 00:00:00,254.00734461864582
2019-08-30 00:00:00,280.9012787852594
2019-08-31 00:00:00,345.6922907092704
2019-09-01 00:00:00,292.37012573088
2019-09-02 00:00:00,353.00767456509607
2019-09-03 00:00:00,316.7852936353405
2019-09-04 00:00:00,287.9000546437335
2019-09-05 00:00:00,272.70362863543954
2019-09-06 00:00:00,250.68179684077325
2019-09-07 00:00:00,342.7568068689191
2019-09-08 00:00:00,275.31291526664893
2019-09-09 00:00:00,356.20269107644833
2019-09-10 00:00:00,296.4800195448566
2019-09-11 00:00:00,256.1882459915265
2019-09-12 00:00:00,264.2494336138302
2019-09-13 00:00:00,296.5061663246922
2019-09-14 00:00:00,362.6109179728168
2019-09-15 00:00:00,283.01996824714166
2019-09-16 00:00:00,386.39865709049377
2019-09-17 00:00:00,297.8301092879125
2019-09-18 00:00:00,286.94501072895395
2019-09-19 00:00:00,290.45713293010647
2019-09-20 00:00:00,270.6129350511586
2019-09-21 00:00:00,325.37184685208507
2019-09-22 00:00:00,259.1986680016825
2019-09-23 00:00:00,362.4320537877146
2019-09-24 00:00:00,324.95322987829
2019-09-25 00:00:00,279.89038612537877
2019-09-26 00:00:00,262.76459545235593
2019-09-27 00:00:00,294.83732542095413
2019-09-28 00:00:00,325.7078219669569
2019-09-29 00:00:00,294.1500778092623
2019-09-30 00:00:00,359.26547974261723
2019-10-01 00:00:00,306.85420030685685
2019-10-02 00:00:00,250.8786493699873
2019-10-03 00:00:00,261.5505315390247
2019-10-04 00:00:00,318.9253314867065
2019-10-05 00:00:00,339.0488901506249
2019-10-06 00:00:00,273.32255790097935
2019-10-07 00:00:00,356.47285333907956
2019-10-08 00:00:00,312.92608070526035
2019-10-09 00:00:00,297.2148558175962
2019-10-10 00:00:00,295.39015446769724
2019-10-11 00:00:00,272.1869181909639
2019-10-12 00:00:00,335.40117678148255
2019-10-13 00:00:00,271.62549322693155
2019-10-14 00:00:00,424.46882095415117
2019-10-15 00:00:00,280.9553152725631
2019-10-16 00:00:00,265.62584559290065
2019-10-17 00:00:00,299.7130751586073
2019-10-18 00:00:00,269.00394110169157
2019-10-19 00:00:00,307.61508162407097
2019-10-20 00:00:00,282.835599904859
2019-10-21 00:00:00,366.6480531822077
2019-10-22 00:00:00,299.76830305527983
2019-10-23 00:00:00,264.89904423555987
2019-10-24 00:00:00,291.9719313649386
2019-10-25 00:00:00,266.4869570788565
2019-10-26 00:00:00,307.5830253501554
2019-10-27 00:00:00,288.9895289343556
2019-10-28 00:00:00,355.7744412897617
2019-10-29 00:00:00,275.13011506068136
2019-10-30 00:00:00,299.48363609275424
2019-10-31 00:00:00,268.68050073378805
2019-11-01 00:00:00,287.52107653398303
2019-11-02 00:00:00,330.045250352215
2019-11-03 00:00:00,326.5884535156032
2019-11-04 00:00:00,381.6609280058076
2019-11-05 00:00:00,317.5434541146018
2019-11-06 00:00:00,298.2211047784151
2019-11-07 00:00:00,292.2039229710474
2019-11-08 00:00:00,253.00335063646688
2019-11-09 00:00:00,316.73076881052896
2019-11-10 00:00:00,254.75437311756903
2019-11-11 00:00:00,365.17891542258843
2019-11-12 00:00:00,302.3947054790993
2019-11-13 00:00:00,303.6460009684908
2019-11-14 00:00:00,253.01245512991687
2019-11-15 00:00:00,261.14958055256363
2019-11-16 00:00:00,313.19367820085847
2019-11-17 00:00:00,253.58541376551202
2019-11-18 00:00:00,373.51771528135583
2019-11-19 00:00:00,277.64803506525845
2019-11-20 00:00:00,284.71691300334464
2019-11-21 00:00:00,280.82483224956906
2019-11-22 00:00:00,293.33640392297974
2019-11-23 00:00:00,337.45480976733876
2019-11-24 00:00:00,258.1281482895854
2019-11-25 00:00:00,381.9713461178515
2019-11-26 00:00:00,286.25029381690774
2019-11-27 00:00:00,254.07396729261885
2019-11-28 00:00:00,272.0901122331818
2019-11-29 00:00:00,251.8729803069092
2019-11-30 00:00:00,342.8748344513064
2019-12-01 00:00:00,268.11096162765296
2019-12-02 00:00:00,389.93536502798213
2019-12-03 00:00:00,314.8929983406118
2019-12-04 00:00:00,294.11558437671533
2019-12-05 00:00:00,275.92692093452325
2019-12-06 00:00:00,264.37855974474405
2019-12-07 00:00:00,318.99118176952766
2019-12-08 00:00:00,293.59077179503294
2019-12-09 00:00:00,397.5741693945771
2019-12-10 00:00:00,304.62553138545826
2019-12-11 00:00:00,296.92954713390833
2019-12-12 00:00:00,261.4545332379099
2019-12-13 00:00:00,295.06143464827585
2019-12-14 00:00:00,314.8290661829113
2019-12-15 00:00:00,297.21170213124924
2019-12-16 00:00:00,369.1388199579609
2019-12-17 00:00:00,312.3242441689302
2019-12-18 00:00:00,263.83609736214527
2019-12-19 00:00:00,260.4696084237182
2019-12-20 00:00:00,265.6132196002119
2019-12-21 00:00:00,300.8254814382823
2019-12-22 00:00:00,290.0686621852365
2019-12-23 00:00:00,413.3465198690423
2019-12-24 00:00:00,303.6041043583258
2019-12-25 00:00:00,257.80917576177114
2019-12-26 00:00:00,261.1019461271221
2019-12-27 00:00:00,255.37016303971097
2019-12-28 00:00:00,316.31698249585554
2019-12-29 00:00:00,259.1673158197379
2019-12-30 00:00:00,382.32220163863667
2019-12-31 00:00:00,315.2663033510119
2020-01-01 00:00:00,298.5698080209045
2020-01-02 00:00:00,289.25017373672813
2020-01-03 00:00:00,257.3841551072686
2020-01-04 00:00:00,345.1899739972836
2020-01-05 00:00:00,279.568496267745
2020-01-06 00:00:00,362.53227891276737
2020-01-07 00:00:00,324.923528376669
2020-01-08 00:00:00,296.076907514971
2020-01-09 00:00:00,258.70088443256395
2020-01-10 00:00:00,297.29118312747244
2020-01-11 00:00:00,306.0852067738707
2020-01-12 00:00:00,307.569733463204
2020-01-13 00:00:00,353.7461558401561
2020-01-14 00:00:00,288.6792007050509
2020-01-15 00:00:00,299.4499700922811
2020-01-16 00:00:00,291.17644706100407
2020-01-17 00:00:00,269.16964341028324
2020-01-18 00:00:00,340.17976918457725
2020-01-19 00:00:00,264.9679394975053
2020-01-20 00:00:00,377.6252329261355
2020-01-21 00:00:00,290.2020921933233
2020-01-22 00:00:00,294.257187568929
2020-01-23 00:00:00,260.1652374639418
2020-01-24 00:00:00,294.092206914681
2020-01-25 00:00:00,304.0971812788789
2020-01-26 00:00:00,293.69837360385134
2020-01-27 00:00:00,354.5638965629367
2020-01-28 00:00:00,311.7194419618209
2020-01-29 00:00:00,282.91314612120567
2020-01-30 00:00:00,269.5434810748555
2020-01-31 00:00:00,273.02612896037624
2020-02-01 00:00:00,339.8028762567518
2020-02-02 00:00:00,284.31088340652695
2020-02-03 00:00:00,383.93130099583607
2020-02-04 00:00:00,302.810087843228
2020-02-05 00:00:00,266.47482161085395
2020-02-06 00:00:00,278.9000248459744
2020-02-07 00:00:00,268.05661941314617
2020-02-08 00:00:00,301.15131730805365
2020-02-09 00:00:00,283.5508454573951
2020-02-10 00:00:00,365.6251371103898
2020-02-11 00:00:00,305.00494309140265
2020-02-12 00:00:00,267.1699081954243
2020-02-13 00:00:00,250.16984392292335
2020-02-14 00:00:00,271.658576686635
2020-02-15 00:00:00,336.06371769116254
2020-02-16 00:00:00,267.3745432001064
2020-02-17 00:00:00,372.70948176586114
2020-02-18 00:00:00,309.53174923829
2020-02-19 00:00:00,293.756797189571
2020-02-20 00:00:00,254.39722427416365
2020-02-21 00:00:00,307.50974851280006
2020-02-22 00:00:00,323.454741213377
2020-02-23 00:00:00,299.028963300204
2020-02-24 00:00:00,396.3765398901591
2020-02-25 00:00:00,323.8281124303882
2020-02-26 00:00:00,261.7635039242078
2020-02-27 00:00:00,288.3949593549999
2020-02-28 00:00:00,275.6156036582724
2020-02-29 00:00:00,306.6698672567772
2020-03-01 00:00:00,252.40721684801372
2020-03-02 00:00:00,407.6563870041249
2020-03-03 00:00:00,289.896471917354
2020-03-04 00:00:00,280.852233268221
2020-03-05 00:00:00,268.93253765624416
2020-03-06 00:00:00,299.10694401178375
2020-03-07 00:00:00,346.42848593828535
2020-03-08 00:00:00,286.5126152590993
2020-03-09 00:00:00,397.1416901108753
2020-03-10 00:00:00,307.31766698331387
2020-03-11 00:00:00,274.21202428640487
2020-03-12 00:00:00,285.6619950135945
